Gene ID,ID,Label,+/-
ENSG00000040531,GO:0006749,glutathione metabolic process,+
ENSG00000040531,GO:0006749,glutathione metabolic process,+
ENSG00000040531,GO:0006749,glutathione metabolic process,+
ENSG00000178814,GO:0006749,glutathione metabolic process,+
ENSG00000174156,GO:0006749,glutathione metabolic process,+
ENSG00000174156,GO:0006749,glutathione metabolic process,+
ENSG00000132763,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000145335,GO:0006749,glutathione metabolic process,+
ENSG00000103222,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000213366,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000168765,GO:0006749,glutathione metabolic process,+
ENSG00000134202,GO:0006749,glutathione metabolic process,+
ENSG00000134202,GO:0006749,glutathione metabolic process,+
ENSG00000134202,GO:0006749,glutathione metabolic process,+
ENSG00000134202,GO:0006749,glutathione metabolic process,+
ENSG00000134202,GO:0006749,glutathione metabolic process,+
ENSG00000134202,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000105755,GO:0006749,glutathione metabolic process,+
ENSG00000094914,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
ENSG00000197448,GO:0006749,glutathione metabolic process,+
