




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5114)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
mismatch repair (GO:0006298)	32	18	7.95	+	2.26	2.52E-04	8.14E-03
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	32	18	7.95	+	2.26	2.52E-04	8.12E-03
regulation of mitotic spindle checkpoint (GO:1903504)	32	18	7.95	+	2.26	2.52E-04	8.10E-03
U2-type prespliceosome assembly (GO:1903241)	25	14	6.21	+	2.25	8.52E-04	2.21E-02
positive regulation of interleukin-2 production (GO:0032743)	50	28	12.42	+	2.25	3.10E-06	1.69E-04
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	25	14	6.21	+	2.25	8.52E-04	2.21E-02
translesion synthesis (GO:0019985)	25	14	6.21	+	2.25	8.52E-04	2.20E-02
positive regulation of activated T cell proliferation (GO:0042104)	25	14	6.21	+	2.25	8.52E-04	2.20E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	104	58	25.84	+	2.24	1.96E-11	3.04E-09
regulation of T-helper 17 type immune response (GO:2000316)	36	20	8.95	+	2.24	1.13E-04	4.09E-03
leukocyte adhesion to vascular endothelial cell (GO:0061756)	27	15	6.71	+	2.24	1.07E-03	2.62E-02
homologous recombination (GO:0035825)	76	42	18.89	+	2.22	2.32E-08	1.88E-06
kinetochore assembly (GO:0051382)	29	16	7.21	+	2.22	7.09E-04	1.90E-02
synaptonemal complex organization (GO:0070193)	29	16	7.21	+	2.22	7.09E-04	1.90E-02
reciprocal meiotic recombination (GO:0007131)	66	36	16.40	+	2.20	3.74E-07	2.42E-05
reciprocal homologous recombination (GO:0140527)	66	36	16.40	+	2.20	3.74E-07	2.41E-05
negative regulation of lymphocyte apoptotic process (GO:0070229)	33	18	8.20	+	2.20	3.26E-04	1.02E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	68	37	16.90	+	2.19	2.54E-07	1.69E-05
pyrimidine-containing compound biosynthetic process (GO:0072528)	46	25	11.43	+	2.19	1.93E-05	8.73E-04
pyrimidine nucleotide biosynthetic process (GO:0006221)	35	19	8.70	+	2.18	2.26E-04	7.45E-03
regulation of cell cycle checkpoint (GO:1901976)	59	32	14.66	+	2.18	2.22E-06	1.23E-04
negative regulation of leukocyte apoptotic process (GO:2000107)	50	27	12.42	+	2.17	1.01E-05	4.87E-04
positive regulation of T cell proliferation (GO:0042102)	106	57	26.34	+	2.16	2.04E-10	2.64E-08
T cell lineage commitment (GO:0002360)	28	15	6.96	+	2.16	1.37E-03	3.17E-02
homologous chromosome segregation (GO:0045143)	71	38	17.64	+	2.15	2.44E-07	1.64E-05
regulation of sister chromatid segregation (GO:0033045)	116	62	28.83	+	2.15	3.91E-11	5.75E-09
maturation of SSU-rRNA (GO:0030490)	73	39	18.14	+	2.15	1.74E-07	1.20E-05
regulation of chromosome segregation (GO:0051983)	143	76	35.53	+	2.14	3.70E-13	7.92E-11
T cell selection (GO:0045058)	64	34	15.90	+	2.14	1.37E-06	7.79E-05
rRNA transcription (GO:0009303)	34	18	8.45	+	2.13	4.62E-04	1.35E-02
protein localization to chromosome (GO:0034502)	85	45	21.12	+	2.13	3.65E-08	2.86E-06
regulation of T cell apoptotic process (GO:0070232)	36	19	8.95	+	2.12	3.28E-04	1.02E-02
regulation of T-helper 1 type immune response (GO:0002825)	36	19	8.95	+	2.12	3.28E-04	1.02E-02
T cell homeostasis (GO:0043029)	57	30	14.16	+	2.12	7.76E-06	3.85E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	120	63	29.82	+	2.11	8.22E-11	1.15E-08
regulation of interleukin-17 production (GO:0032660)	40	21	9.94	+	2.11	1.68E-04	5.80E-03
rRNA modification (GO:0000154)	40	21	9.94	+	2.11	1.68E-04	5.78E-03
tRNA methylation (GO:0030488)	40	21	9.94	+	2.11	1.68E-04	5.77E-03
regulation of mitotic nuclear division (GO:0007088)	128	67	31.81	+	2.11	2.23E-11	3.42E-09
T cell costimulation (GO:0031295)	44	23	10.93	+	2.10	1.38E-04	4.82E-03
cell surface receptor signaling pathway via JAK-STAT (GO:0007259)	81	42	20.13	+	2.09	1.89E-07	1.29E-05
regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994)	31	16	7.70	+	2.08	1.35E-03	3.13E-02
cellular response to interleukin-4 (GO:0071353)	35	18	8.70	+	2.07	6.82E-04	1.84E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	35	18	8.70	+	2.07	6.82E-04	1.84E-02
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	37	19	9.19	+	2.07	8.01E-04	2.09E-02
binding of sperm to zona pellucida (GO:0007339)	39	20	9.69	+	2.06	5.38E-04	1.52E-02
cell cycle checkpoint signaling (GO:0000075)	160	82	39.76	+	2.06	9.29E-13	1.85E-10
lymphocyte costimulation (GO:0031294)	45	23	11.18	+	2.06	1.73E-04	5.88E-03
cell surface receptor signaling pathway via STAT (GO:0097696)	94	48	23.36	+	2.05	5.03E-08	3.83E-06
meiotic chromosome segregation (GO:0045132)	98	50	24.35	+	2.05	2.53E-08	2.04E-06
DNA-templated DNA replication (GO:0006261)	148	75	36.78	+	2.04	1.84E-11	2.91E-09
regulation of interleukin-2 production (GO:0032663)	77	39	19.13	+	2.04	1.04E-06	6.09E-05
T cell differentiation in thymus (GO:0033077)	66	33	16.40	+	2.01	1.07E-05	5.11E-04
response to interleukin-4 (GO:0070670)	38	19	9.44	+	2.01	9.72E-04	2.42E-02
spliceosomal snRNP assembly (GO:0000387)	70	35	17.39	+	2.01	5.47E-06	2.81E-04
spliceosomal tri-snRNP complex assembly (GO:0000244)	38	19	9.44	+	2.01	9.72E-04	2.42E-02
chromosome condensation (GO:0030261)	42	21	10.44	+	2.01	4.70E-04	1.36E-02
positive regulation of transcription by RNA polymerase I (GO:0045943)	36	18	8.95	+	2.01	1.42E-03	3.27E-02
DNA recombination (GO:0006310)	258	128	64.11	+	2.00	7.82E-18	3.34E-15
positive regulation of type II interferon production (GO:0032729)	89	44	22.12	+	1.99	7.61E-07	4.57E-05
negative regulation of chromosome organization (GO:2001251)	79	39	19.63	+	1.99	2.65E-06	1.46E-04
DNA replication (GO:0006260)	237	117	58.89	+	1.99	2.96E-16	1.00E-13
meiosis I (GO:0007127)	132	65	32.80	+	1.98	1.55E-09	1.58E-07
regulation of T cell receptor signaling pathway (GO:0050856)	63	31	15.66	+	1.98	2.88E-05	1.26E-03
ribosomal small subunit biogenesis (GO:0042274)	114	56	28.33	+	1.98	2.25E-08	1.84E-06
mitochondrial RNA metabolic process (GO:0000959)	55	27	13.67	+	1.98	1.14E-04	4.11E-03
regulation of nuclear division (GO:0051783)	157	77	39.01	+	1.97	5.18E-11	7.54E-09
regulation of DNA-templated DNA replication (GO:0090329)	51	25	12.67	+	1.97	2.35E-04	7.74E-03
positive regulation of lymphocyte proliferation (GO:0050671)	149	73	37.03	+	1.97	1.95E-10	2.56E-08
meiosis I cell cycle process (GO:0061982)	137	67	34.04	+	1.97	1.67E-09	1.67E-07
positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)	43	21	10.69	+	1.97	6.38E-04	1.74E-02
centrosome duplication (GO:0051298)	43	21	10.69	+	1.97	6.38E-04	1.74E-02
ribosomal large subunit biogenesis (GO:0042273)	80	39	19.88	+	1.96	3.59E-06	1.90E-04
positive regulation of mononuclear cell proliferation (GO:0032946)	150	73	37.27	+	1.96	2.60E-10	3.29E-08
chromosome organization (GO:0051276)	428	208	106.36	+	1.96	9.82E-27	8.40E-24
rRNA processing (GO:0006364)	227	110	56.41	+	1.95	1.31E-14	3.41E-12
recombinational repair (GO:0000725)	128	62	31.81	+	1.95	7.36E-09	6.60E-07
tRNA modification (GO:0006400)	95	46	23.61	+	1.95	9.83E-07	5.81E-05
lymphocyte homeostasis (GO:0002260)	85	41	21.12	+	1.94	3.33E-06	1.78E-04
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	281	135	69.83	+	1.93	3.45E-17	1.39E-14
regulation of B cell proliferation (GO:0030888)	73	35	18.14	+	1.93	1.82E-05	8.30E-04
positive regulation of leukocyte proliferation (GO:0070665)	167	80	41.50	+	1.93	1.07E-10	1.45E-08
positive regulation of alpha-beta T cell activation (GO:0046635)	71	34	17.64	+	1.93	2.53E-05	1.12E-03
chromosome segregation (GO:0007059)	347	166	86.23	+	1.93	1.09E-20	5.13E-18
