




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (5102)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of fatty acid oxidation (GO:0046322)	14	9	3.47	+	2.59	2.01E-03	2.95E-02
negative regulation of mitotic sister chromatid separation (GO:2000816)	33	21	8.18	+	2.57	2.63E-06	1.09E-04
positive regulation of mitotic sister chromatid separation (GO:1901970)	22	14	5.45	+	2.57	1.29E-04	3.10E-03
negative regulation of mitotic sister chromatid segregation (GO:0033048)	33	21	8.18	+	2.57	2.63E-06	1.08E-04
negative regulation of sister chromatid segregation (GO:0033046)	33	21	8.18	+	2.57	2.63E-06	1.08E-04
negative regulation of lymphocyte apoptotic process (GO:0070229)	33	21	8.18	+	2.57	2.63E-06	1.08E-04
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	33	21	8.18	+	2.57	2.63E-06	1.07E-04
leukocyte cell-cell adhesion (GO:0007159)	63	40	15.62	+	2.56	8.98E-11	7.91E-09
mitotic spindle assembly checkpoint signaling (GO:0007094)	30	19	7.44	+	2.55	8.81E-06	3.12E-04
mitotic spindle checkpoint signaling (GO:0071174)	30	19	7.44	+	2.55	8.81E-06	3.12E-04
spindle assembly checkpoint signaling (GO:0071173)	30	19	7.44	+	2.55	8.81E-06	3.11E-04
synaptic transmission, cholinergic (GO:0007271)	27	17	6.69	+	2.54	2.96E-05	8.90E-04
regulation of T cell differentiation in thymus (GO:0033081)	27	17	6.69	+	2.54	2.96E-05	8.88E-04
leukocyte adhesion to vascular endothelial cell (GO:0061756)	27	17	6.69	+	2.54	2.96E-05	8.87E-04
negative regulation of mitotic nuclear division (GO:0045839)	40	25	9.92	+	2.52	4.82E-07	2.47E-05
response to lithium ion (GO:0010226)	16	10	3.97	+	2.52	1.53E-03	2.37E-02
regulation of leukocyte tethering or rolling (GO:1903236)	16	10	3.97	+	2.52	1.53E-03	2.37E-02
piRNA-mediated heterochromatin formation (GO:0140966)	16	10	3.97	+	2.52	1.53E-03	2.37E-02
thyroid hormone generation (GO:0006590)	16	10	3.97	+	2.52	1.53E-03	2.37E-02
ganglioside biosynthetic process (GO:0001574)	16	10	3.97	+	2.52	1.53E-03	2.36E-02
oligosaccharide catabolic process (GO:0009313)	16	10	3.97	+	2.52	1.53E-03	2.36E-02
ribonucleoside monophosphate catabolic process (GO:0009158)	16	10	3.97	+	2.52	1.53E-03	2.36E-02
positive regulation of alpha-beta T cell proliferation (GO:0046641)	24	15	5.95	+	2.52	9.97E-05	2.53E-03
tolerance induction (GO:0002507)	21	13	5.21	+	2.50	3.37E-04	6.90E-03
spindle checkpoint signaling (GO:0031577)	31	19	7.69	+	2.47	1.75E-05	5.65E-04
glandular epithelial cell differentiation (GO:0002067)	18	11	4.46	+	2.47	1.15E-03	1.88E-02
ossification involved in bone maturation (GO:0043931)	18	11	4.46	+	2.47	1.15E-03	1.88E-02
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	23	14	5.70	+	2.46	2.55E-04	5.50E-03
detection of visible light (GO:0009584)	28	17	6.94	+	2.45	5.79E-05	1.58E-03
negative regulation of nuclear division (GO:0051784)	48	29	11.90	+	2.44	1.70E-07	9.55E-06
cellular response to gonadotropin stimulus (GO:0071371)	20	12	4.96	+	2.42	8.57E-04	1.51E-02
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	35	21	8.68	+	2.42	1.01E-05	3.50E-04
negative regulation of chromosome separation (GO:1905819)	35	21	8.68	+	2.42	1.01E-05	3.49E-04
negative regulation of leukocyte chemotaxis (GO:0002689)	20	12	4.96	+	2.42	8.57E-04	1.51E-02
negative regulation of leukocyte apoptotic process (GO:2000107)	50	30	12.40	+	2.42	1.29E-07	7.43E-06
motile cilium assembly (GO:0044458)	89	53	22.06	+	2.40	3.25E-12	3.50E-10
negative regulation of myoblast differentiation (GO:0045662)	27	16	6.69	+	2.39	1.44E-04	3.39E-03
positive regulation of interleukin-17 production (GO:0032740)	27	16	6.69	+	2.39	1.44E-04	3.38E-03
positive regulation of meiotic cell cycle (GO:0051446)	27	16	6.69	+	2.39	1.44E-04	3.38E-03
positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	27	16	6.69	+	2.39	1.44E-04	3.37E-03
homologous recombination (GO:0035825)	76	45	18.84	+	2.39	1.82E-10	1.54E-08
reciprocal meiotic recombination (GO:0007131)	66	39	16.36	+	2.38	3.20E-09	2.35E-07
reciprocal homologous recombination (GO:0140527)	66	39	16.36	+	2.38	3.20E-09	2.34E-07
homologous chromosome pairing at meiosis (GO:0007129)	56	33	13.88	+	2.38	5.67E-08	3.43E-06
regulation of integrin activation (GO:0033623)	17	10	4.21	+	2.37	2.89E-03	4.01E-02
sperm axoneme assembly (GO:0007288)	34	20	8.43	+	2.37	2.48E-05	7.70E-04
positive regulation of T-helper 17 type immune response (GO:2000318)	17	10	4.21	+	2.37	2.89E-03	4.01E-02
regulation of cilium beat frequency (GO:0003356)	17	10	4.21	+	2.37	2.89E-03	4.01E-02
positive regulation of meiotic nuclear division (GO:0045836)	17	10	4.21	+	2.37	2.89E-03	4.00E-02
morphogenesis of an epithelial fold (GO:0060571)	17	10	4.21	+	2.37	2.89E-03	4.00E-02
fusion of sperm to egg plasma membrane involved in single fertilization (GO:0007342)	29	17	7.19	+	2.36	1.08E-04	2.69E-03
synaptonemal complex organization (GO:0070193)	29	17	7.19	+	2.36	1.08E-04	2.68E-03
positive regulation of smooth muscle contraction (GO:0045987)	29	17	7.19	+	2.36	1.08E-04	2.68E-03
negative regulation of chromosome segregation (GO:0051985)	36	21	8.92	+	2.35	1.86E-05	5.95E-04
regulation of meiotic nuclear division (GO:0040020)	36	21	8.92	+	2.35	1.86E-05	5.93E-04
sperm flagellum assembly (GO:0120316)	62	36	15.37	+	2.34	2.44E-08	1.54E-06
axoneme assembly (GO:0035082)	107	62	26.53	+	2.34	3.25E-13	4.26E-11
positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	19	11	4.71	+	2.34	2.12E-03	3.08E-02
synaptonemal complex assembly (GO:0007130)	26	15	6.45	+	2.33	3.50E-04	7.15E-03
dendritic cell migration (GO:0036336)	26	15	6.45	+	2.33	3.50E-04	7.14E-03
kinetochore organization (GO:0051383)	33	19	8.18	+	2.32	5.97E-05	1.62E-03
positive regulation of T cell proliferation (GO:0042102)	106	61	26.28	+	2.32	7.15E-13	8.73E-11
phototransduction (GO:0007602)	47	27	11.65	+	2.32	1.83E-06	8.04E-05
positive regulation of mitotic nuclear division (GO:0045840)	47	27	11.65	+	2.32	1.83E-06	8.02E-05
chromosome organization involved in meiotic cell cycle (GO:0070192)	68	39	16.86	+	2.31	1.41E-08	9.41E-07
regulation of collagen biosynthetic process (GO:0032965)	35	20	8.68	+	2.30	4.44E-05	1.25E-03
positive regulation of nuclear division (GO:0051785)	63	36	15.62	+	2.30	5.89E-08	3.55E-06
T cell lineage commitment (GO:0002360)	28	16	6.94	+	2.30	2.59E-04	5.54E-03
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	28	16	6.94	+	2.30	2.59E-04	5.53E-03
regulation of DNA-templated DNA replication initiation (GO:0030174)	21	12	5.21	+	2.30	1.55E-03	2.39E-02
positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)	37	21	9.17	+	2.29	3.29E-05	9.77E-04
male genitalia development (GO:0030539)	23	13	5.70	+	2.28	1.14E-03	1.87E-02
binding of sperm to zona pellucida (GO:0007339)	39	22	9.67	+	2.28	3.92E-05	1.12E-03
regulation of cellular extravasation (GO:0002691)	39	22	9.67	+	2.28	3.92E-05	1.12E-03
positive regulation of interleukin-12 production (GO:0032735)	43	24	10.66	+	2.25	1.81E-05	5.81E-04
sperm-egg recognition (GO:0035036)	52	29	12.89	+	2.25	2.12E-06	8.95E-05
regulation of T cell apoptotic process (GO:0070232)	36	20	8.92	+	2.24	1.11E-04	2.76E-03
calcium ion import into cytosol (GO:1902656)	27	15	6.69	+	2.24	1.06E-03	1.78E-02
response to gonadotropin (GO:0034698)	27	15	6.69	+	2.24	1.06E-03	1.78E-02
positive regulation of muscle contraction (GO:0045933)	54	30	13.39	+	2.24	1.51E-06	6.73E-05
chondroitin sulfate proteoglycan metabolic process (GO:0050654)	38	21	9.42	+	2.23	7.61E-05	1.99E-03
positive regulation of interleukin-4 production (GO:0032753)	29	16	7.19	+	2.23	7.01E-04	1.27E-02
DNA replication initiation (GO:0006270)	29	16	7.19	+	2.23	7.01E-04	1.27E-02
negative regulation of alpha-beta T cell differentiation (GO:0046639)	29	16	7.19	+	2.23	7.01E-04	1.27E-02
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	49	27	12.15	+	2.22	6.28E-06	2.31E-04
negative regulation of T-helper cell differentiation (GO:0045623)	20	11	4.96	+	2.22	3.66E-03	4.90E-02
regulation of monocyte chemotactic protein-1 production (GO:0071637)	20	11	4.96	+	2.22	3.66E-03	4.90E-02
regulation of interleukin-17 production (GO:0032660)	40	22	9.92	+	2.22	5.27E-05	1.46E-03
nucleoside monophosphate catabolic process (GO:0009125)	20	11	4.96	+	2.22	3.66E-03	4.89E-02
regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994)	31	17	7.69	+	2.21	4.71E-04	9.06E-03
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	62	34	15.37	+	2.21	4.15E-07	2.18E-05
regulation of activated T cell proliferation (GO:0046006)	42	23	10.41	+	2.21	3.69E-05	1.07E-03
plasma membrane fusion (GO:0045026)	33	18	8.18	+	2.20	3.20E-04	6.62E-03
negative regulation of B cell activation (GO:0050869)	33	18	8.18	+	2.20	3.20E-04	6.61E-03
positive regulation of alpha-beta T cell differentiation (GO:0046638)	55	30	13.64	+	2.20	2.34E-06	9.76E-05
regulation of type 2 immune response (GO:0002828)	33	18	8.18	+	2.20	3.20E-04	6.60E-03
cilium movement (GO:0003341)	277	151	68.67	+	2.20	2.05E-26	1.75E-23
regulation of B cell differentiation (GO:0045577)	35	19	8.68	+	2.19	2.21E-04	4.94E-03
thymic T cell selection (GO:0045061)	35	19	8.68	+	2.19	2.21E-04	4.93E-03
attachment of spindle microtubules to kinetochore (GO:0008608)	35	19	8.68	+	2.19	2.21E-04	4.93E-03
negative regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043371)	24	13	5.95	+	2.18	2.99E-03	4.12E-02
neuroepithelial cell differentiation (GO:0060563)	24	13	5.95	+	2.18	2.99E-03	4.11E-02
meiotic chromosome segregation (GO:0045132)	98	53	24.30	+	2.18	5.09E-10	4.11E-08
cilium movement involved in cell motility (GO:0060294)	237	128	58.75	+	2.18	4.60E-22	2.57E-19
regulation of mitotic nuclear division (GO:0007088)	128	69	31.73	+	2.17	1.63E-12	1.83E-10
negative regulation of interleukin-2 production (GO:0032703)	26	14	6.45	+	2.17	1.99E-03	2.94E-02
calcium ion import across plasma membrane (GO:0098703)	26	14	6.45	+	2.17	1.99E-03	2.93E-02
